City_ID,city,country,max_temp,lat,lng,Hotel Name
6,Georgetown,MY,78.8,5.4112,100.3354,Cititel Penang
8,Rikitea,PF,78.64,-23.1203,-134.9692,Pension Maro'i
13,Butaritari,KI,81.14,3.0707,172.7902,Isles Sunset Lodge
17,Faanui,PF,81.81,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Axim,GH,79.09,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
24,Puerto Ayora,EC,75.0,-0.7393,-90.3518,Castillo Galapagos
26,Freetown,SL,80.08,8.484,-13.2299,The Country Lodge Hotel
27,Kavieng,PG,84.79,-2.5744,150.7967,Nusa Island Retreat
28,Kapaa,US,78.8,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Cidreira,BR,77.92,-30.1811,-50.2056,Hotel Castelo
42,Carutapera,BR,78.49,-1.195,-46.02,Lidera
44,Atuona,PF,77.5,-9.8,-139.0333,Villa Enata
45,Bengkulu,ID,75.22,-3.8004,102.2655,Grage Hotel Bengkulu
47,Alofi,NU,84.2,-19.0595,-169.9187,Taloa Heights
52,Bontang,ID,78.6,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
57,Sassandra,CI,77.56,4.95,-6.0833,la terrasse
60,Kirakira,SB,82.71,-10.4544,161.9205,SanBiz Lodge
62,Saint-Pierre,RE,77.0,-21.3393,55.4781,Lindsey Hôtel
64,Poum,NC,82.74,-20.2333,164.0167,Gîte kajeon
70,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Avarua,CK,86.0,-21.2078,-159.775,Paradise Inn
72,Bambous Virieux,MU,79.0,-20.3428,57.7575,Casa Tia Villa
73,Saint-Leu,RE,78.8,-21.15,55.2833,La Caz Oceane
74,Kawalu,ID,75.92,-7.3817,108.2082,KOSAN UNGU UNSIK
80,Carnarvon,AU,77.0,-24.8667,113.6333,Hospitality Carnarvon
81,Vaini,TO,86.0,-21.2,-175.2,Keleti Beach Resort
83,Maragogi,BR,78.06,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
84,Quatre Cocos,MU,79.0,-20.2078,57.7625,Emeraude Beach Attitude Hotel
86,Brazzaville,CG,77.0,-4.2658,15.2832,Hotel Murex
96,Port Augusta,AU,82.0,-32.5,137.7667,Majestic Oasis Apartments
113,Gamba,GA,77.88,-2.65,10.0,
114,Hithadhoo,MV,80.94,-0.6,73.0833,Scoop Guest House
118,Lae,PG,88.07,-6.7221,146.9847,Phils Hotel
119,Lorengau,PG,85.37,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Moranbah,AU,76.39,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
131,Touros,BR,80.6,-5.1989,-35.4608,INN NEW HORIZON
135,Inhambane,MZ,77.11,-23.865,35.3833,Oceano
157,Batemans Bay,AU,82.99,-35.7167,150.1833,Batemans Bay Marina Resort
159,Arraial Do Cabo,BR,76.6,-22.9661,-42.0278,Pousada Porto Praia
163,Mackay,AU,78.01,-21.15,149.2,International Lodge Motel
164,Tual,ID,84.38,-5.6667,132.75,Grand Vilia Hotel
165,Hilo,US,82.4,19.7297,-155.09,Hilo Hawaiian Hotel
167,Vila Velha,BR,79.0,-20.3297,-40.2925,Hotel Vitória Palace
172,Angoram,PG,89.29,-4.0625,144.0661,
178,Sinnamary,GF,77.68,5.3833,-52.95,ALETHEIA Appartement Sinnamary
180,Papara,BR,81.0,-3.9839,-38.7273,Romin
184,Kavaratti,IN,82.33,10.5669,72.642,Hotels in Lakshadweep Islands
185,Samarai,PG,86.16,-10.6167,150.6667,Nuli Sapi
189,Moree,AU,77.0,-29.4667,149.85,Molika Springs Motel
194,Flinders,AU,82.99,-34.5833,150.8552,Shellharbour Resort & Conference Centre
196,Araceli,PH,80.31,10.5529,119.9913,JBryan Traveler's Inn
199,Kalmunai,LK,75.67,7.4167,81.8167,VS Villa
200,Natal,BR,80.6,-5.795,-35.2094,Villa Park Hotel | Natal
203,Kahului,US,82.4,20.8947,-156.47,Maui Seaside Hotel
208,Port Blair,IN,79.39,11.6667,92.75,Welcomhotel Bay Island Port Blair
209,Bonthe,SL,79.92,7.5264,-12.505,Bonthe Holiday Village
218,Salinopolis,BR,79.36,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
226,Lagos,NG,78.69,6.5833,3.75,
228,Broken Hill,AU,77.0,-31.95,141.4333,Royal Exchange Hotel
237,Port Hedland,AU,89.6,-20.3167,118.5667,The Esplanade Hotel
243,Byron Bay,AU,80.6,-28.65,153.6167,Backpackers Inn on the Beach
244,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Pandan,PH,75.81,14.0453,124.1694,Bonifacio Lodge
252,Puerto Ayacucho,VE,78.21,5.6639,-67.6236,Posada Turistica Manapiare
259,Mancio Lima,BR,77.13,-7.6142,-72.8958,Hotel e Distribuidora Voyage
264,Isangel,VU,84.2,-19.55,169.2667,Volcano Sea View Tree House
271,Sambava,MG,76.8,-14.2667,50.1667,Melrose
