City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-01-11 01:39:45,62.456,-114.3525,6.8,92,90,6.91
1,Punta Arenas,CL,2021-01-11 01:38:03,-53.15,-70.9167,46.4,66,90,11.5
2,Deputatskiy,RU,2021-01-11 01:39:45,69.3,139.9,-34.4,82,59,4.56
3,Ushuaia,AR,2021-01-11 01:38:59,-54.8,-68.3,42.8,70,75,20.71
4,Butaritari,KI,2021-01-11 01:39:46,3.0707,172.7902,81.23,81,100,17.63
5,Busselton,AU,2021-01-11 01:39:46,-33.65,115.3333,69.01,53,0,3.0
6,Jamestown,US,2021-01-11 01:37:00,42.097,-79.2353,26.6,93,1,4.61
7,Albany,US,2021-01-11 01:39:47,42.6001,-73.9662,19.99,93,20,3.44
8,Green River,US,2021-01-11 01:39:39,41.5286,-109.4662,19.4,68,1,10.36
9,Angoche,MZ,2021-01-11 01:39:47,-16.2325,39.9086,78.53,82,87,7.81
10,Bonoua,CI,2021-01-11 01:39:47,5.2741,-3.595,80.6,94,20,4.61
11,Arlit,NE,2021-01-11 01:39:48,18.7369,7.3853,68.67,22,0,4.68
12,Constitucion,CL,2021-01-11 01:39:48,-35.3333,-72.4167,57.38,93,100,3.94
13,Menongue,AO,2021-01-11 01:39:48,-14.6585,17.691,62.11,85,100,6.11
14,Krasnoselkup,RU,2021-01-11 01:39:48,65.7,82.4667,-25.08,85,68,7.29
15,Kapaa,US,2021-01-11 01:39:48,22.0752,-159.319,78.8,73,40,13.8
16,Hilo,US,2021-01-11 01:35:28,19.7297,-155.09,82.4,54,1,10.36
17,Tuktoyaktuk,CA,2021-01-11 01:39:49,69.4541,-133.0374,3.2,85,75,6.91
18,Cape Town,ZA,2021-01-11 01:37:16,-33.9258,18.4232,66.0,72,0,1.14
19,Wattegama,LK,2021-01-11 01:39:49,6.7989,81.4808,73.4,100,90,3.44
20,Thompson,CA,2021-01-11 01:39:50,55.7435,-97.8558,10.4,92,1,3.44
