City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind speed
0,Barrow,US,2021-01-12 00:09:38,71.2906,-156.7887,1.4,78,90,23.02
1,Chiredzi,ZW,2021-01-12 00:15:36,-21.05,31.6667,73.09,92,70,6.73
2,Khatanga,RU,2021-01-12 00:04:27,71.9667,102.5,-19.35,88,100,4.85
3,Taltal,CL,2021-01-12 00:15:37,-25.4,-70.4833,65.73,73,53,5.37
4,Hermanus,ZA,2021-01-12 00:02:49,-34.4187,19.2345,66.99,92,90,3.0
5,Calbuco,CL,2021-01-12 00:15:37,-41.768,-73.1273,55.4,62,0,8.05
6,Georgetown,MY,2021-01-12 00:04:33,5.4112,100.3354,78.8,78,20,3.44
7,Dzilam Gonzalez,MX,2021-01-12 00:15:38,21.2833,-88.9333,72.16,75,87,5.88
8,Rikitea,PF,2021-01-12 00:09:37,-23.1203,-134.9692,78.64,76,92,19.08
9,Cherskiy,RU,2021-01-12 00:07:28,68.75,161.3,-34.83,82,0,1.32
10,Mataura,NZ,2021-01-12 00:04:26,-46.1927,168.8643,73.18,37,1,1.63
11,Homer,US,2021-01-12 00:07:02,59.6425,-151.5483,37.4,87,75,16.11
12,Port Elizabeth,ZA,2021-01-12 00:05:32,-33.918,25.5701,66.2,100,90,10.36
13,Butaritari,KI,2021-01-12 00:09:37,3.0707,172.7902,81.14,82,83,19.55
14,Aasiaat,GL,2021-01-12 00:15:39,68.7098,-52.8699,15.98,97,100,4.65
15,Lebu,CL,2021-01-12 00:07:11,-37.6167,-73.65,55.13,67,0,20.58
16,Hobyo,SO,2021-01-12 00:15:40,5.3505,48.5268,74.48,74,3,20.56
17,Faanui,PF,2021-01-12 00:05:14,-16.4833,-151.75,81.81,75,91,21.0
18,Upernavik,GL,2021-01-12 00:03:34,72.7868,-56.1549,22.66,95,81,25.39
19,Talnakh,RU,2021-01-12 00:07:05,69.4865,88.3972,-20.31,87,96,0.74
20,Hobart,AU,2021-01-12 00:04:15,-42.8794,147.3294,69.01,55,75,18.41
21,Ushuaia,AR,2021-01-12 00:06:59,-54.8,-68.3,46.4,76,75,8.05
22,Comodoro Rivadavia,AR,2021-01-12 00:15:41,-45.8667,-67.5,59.0,44,0,4.61
23,Axim,GH,2021-01-12 00:15:41,4.8699,-2.2405,79.09,87,0,7.85
24,Puerto Ayora,EC,2021-01-12 00:06:58,-0.7393,-90.3518,75.0,92,27,1.99
25,Derzhavinsk,KZ,2021-01-12 00:15:41,51.1,66.3167,15.55,97,100,2.21
26,Freetown,SL,2021-01-12 00:15:42,8.484,-13.2299,80.08,79,81,8.9
27,Kavieng,PG,2021-01-12 00:03:57,-2.5744,150.7967,84.79,70,100,8.93
28,Kapaa,US,2021-01-12 00:09:38,22.0752,-159.319,78.8,73,1,8.05
29,East London,ZA,2021-01-12 00:04:06,-33.0153,27.9116,72.81,90,75,8.08
30,Chuy,UY,2021-01-12 00:02:55,-33.6971,-53.4616,71.26,93,100,8.97
31,Nanortalik,GL,2021-01-12 00:07:46,60.1432,-45.2371,30.72,93,100,4.05
32,Jamestown,US,2021-01-12 00:02:49,42.097,-79.2353,33.01,74,90,11.5
33,Mehamn,NO,2021-01-12 00:08:03,71.0357,27.8492,17.67,92,60,22.08
34,Bredasdorp,ZA,2021-01-12 00:06:59,-34.5322,20.0403,68.0,88,99,11.5
35,Busselton,AU,2021-01-12 00:04:53,-33.65,115.3333,64.99,64,100,1.99
36,Saint-Philippe,RE,2021-01-12 00:03:43,-21.3585,55.7679,77.0,88,40,2.3
37,Cidreira,BR,2021-01-12 00:07:01,-30.1811,-50.2056,77.92,86,68,25.21
38,Igarka,RU,2021-01-12 00:15:44,67.4667,86.5833,-10.28,90,95,6.93
39,Ostrovnoy,RU,2021-01-12 00:07:09,68.0531,39.5131,4.12,91,1,16.78
40,Luderitz,NA,2021-01-12 00:03:40,-26.6481,15.1594,65.5,77,1,18.88
41,Asau,RO,2021-01-12 00:08:24,46.4333,26.4,30.2,100,90,4.61
42,Carutapera,BR,2021-01-12 00:08:32,-1.195,-46.02,78.49,82,35,7.23
43,Whitehorse,CA,2021-01-12 00:10:59,60.7161,-135.0538,28.4,80,75,18.41
44,Atuona,PF,2021-01-12 00:04:41,-9.8,-139.0333,77.5,80,14,15.7
45,Bengkulu,ID,2021-01-12 00:07:03,-3.8004,102.2655,75.22,95,100,11.99
46,Hurghada,EG,2021-01-12 00:15:45,27.2574,33.8129,64.4,59,0,6.91
47,Alofi,NU,2021-01-12 00:07:57,-19.0595,-169.9187,84.2,70,75,10.36
48,Nemuro,JP,2021-01-12 00:12:45,43.3236,145.575,10.4,79,75,2.3
49,Saskylakh,RU,2021-01-12 00:07:48,71.9167,114.0833,-25.19,85,100,6.73
50,Jejuri,IN,2021-01-12 00:15:46,18.2833,74.1667,68.97,60,93,4.68
51,Olafsvik,IS,2021-01-12 00:07:45,64.8945,-23.7142,31.05,91,7,7.09
52,Bontang,ID,2021-01-12 00:15:46,0.1333,117.5,78.6,86,61,5.44
53,Nome,US,2021-01-12 00:07:55,64.5011,-165.4064,15.8,73,90,20.71
54,Chokurdakh,RU,2021-01-12 00:07:10,70.6333,147.9167,-27.06,83,88,1.5
55,Port Alfred,ZA,2021-01-12 00:04:17,-33.5906,26.891,72.61,90,87,14.5
56,Dauphin,CA,2021-01-12 00:15:47,51.1494,-100.0502,25.02,91,95,13.71
57,Sassandra,CI,2021-01-12 00:15:47,4.95,-6.0833,77.56,89,62,5.88
58,Springbok,ZA,2021-01-12 00:15:47,-29.6643,17.8865,67.33,44,1,1.68
59,Saint-Augustin,CA,2021-01-12 00:08:06,51.226,-58.6502,15.51,85,11,10.07
60,Kirakira,SB,2021-01-12 00:15:48,-10.4544,161.9205,82.71,74,95,1.23
61,Thompson,CA,2021-01-12 00:07:34,55.7435,-97.8558,23.0,93,90,8.05
62,Saint-Pierre,RE,2021-01-12 00:08:55,-21.3393,55.4781,77.0,88,40,2.3
63,Elban,RU,2021-01-12 00:15:48,50.1018,136.5094,-6.3,87,100,3.89
64,Poum,NC,2021-01-12 00:06:07,-20.2333,164.0167,82.74,77,92,3.18
65,Inca,ES,2021-01-12 00:15:49,39.7211,2.9109,45.0,81,28,4.7
66,Zhigansk,RU,2021-01-12 00:04:29,66.7697,123.3711,-43.94,79,76,9.95
67,Antalaha,MG,2021-01-12 00:15:49,-14.9003,50.2788,74.77,89,29,4.38
68,Ostersund,SE,2021-01-12 00:15:50,63.1792,14.6357,28.0,100,100,14.97
69,Tuni,IN,2021-01-12 00:15:50,17.35,82.55,68.13,72,57,2.89
70,Mahebourg,MU,2021-01-12 00:02:48,-20.4081,57.7,78.8,94,75,14.97
71,Avarua,CK,2021-01-12 00:07:38,-21.2078,-159.775,86.0,70,75,16.11
72,Bambous Virieux,MU,2021-01-12 00:05:35,-20.3428,57.7575,79.0,94,75,14.97
73,Saint-Leu,RE,2021-01-12 00:15:51,-21.15,55.2833,78.8,83,90,3.44
74,Kawalu,ID,2021-01-12 00:08:17,-7.3817,108.2082,75.92,84,97,1.3
75,Changji,CN,2021-01-12 00:15:52,44.0167,87.3167,-4.0,77,80,2.24
76,Mahenge,TZ,2021-01-12 00:15:52,-8.6833,36.7167,64.11,100,100,1.05
77,Chitral,PK,2021-01-12 00:15:52,35.8462,71.7858,29.46,44,0,11.32
78,Colquechaca,BO,2021-01-12 00:08:37,-18.6667,-66.0167,39.7,100,79,3.56
79,Balkanabat,TM,2021-01-12 00:15:52,39.5108,54.3671,40.62,78,6,1.66
80,Carnarvon,AU,2021-01-12 00:04:55,-24.8667,113.6333,77.0,94,90,14.97
81,Vaini,TO,2021-01-12 00:07:14,-21.2,-175.2,86.0,79,75,10.36
82,Klaksvik,FO,2021-01-12 00:07:09,62.2266,-6.589,35.6,80,75,24.16
83,Maragogi,BR,2021-01-12 00:08:49,-9.0122,-35.2225,78.06,79,84,9.53
84,Quatre Cocos,MU,2021-01-12 00:08:22,-20.2078,57.7625,79.0,94,75,14.97
85,Aktash,RU,2021-01-12 00:15:54,50.3,87.7333,8.83,94,100,3.98
86,Brazzaville,CG,2021-01-12 00:15:54,-4.2658,15.2832,77.0,83,100,4.61
87,Torbay,CA,2021-01-12 00:02:56,47.6666,-52.7314,28.0,86,90,11.5
88,Nizwa,OM,2021-01-12 00:15:54,22.9333,57.5333,48.38,52,30,1.32
89,Kaitangata,NZ,2021-01-12 00:07:26,-46.2817,169.8464,62.01,62,1,8.01
90,Cape Town,ZA,2021-01-12 00:07:00,-33.9258,18.4232,70.0,68,0,13.8
91,Hasaki,JP,2021-01-12 00:07:03,35.7333,140.8333,39.0,93,75,10.36
92,Rawson,AR,2021-01-12 00:06:21,-43.3002,-65.1023,59.36,41,48,6.96
93,General Roca,AR,2021-01-12 00:15:55,-39.0333,-67.5833,68.0,24,0,5.75
94,Ada,US,2021-01-12 00:15:55,43.4166,-116.1262,39.2,56,1,6.91
